#P: 16
#M: 4
#alpha: 0.01
#gamma: 1.0
#n_episodes: 2000000
#K: 1
#Baseline: None
#m: 524288
#Nodes: ['M0', 'M1', 'M2', 'M3']
#Processors/Node: [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3]
#Reward_type: self
#StateRep: Simple
#StartTime: 1605014771.657723
# 
# e  	  J  	  t  	  T  	 n_intra 	 n_inter 	 n_errors 
#--- 	 --- 	 --- 	 --- 	 ------- 	 ------- 	 -------- 
280 	 -299.47760009765625 	 1605014773.008332 	 1 	 6 	 9 	 4
281 	 -383.3355712890625 	 1605014773.013111 	 1 	 4 	 11 	 6
282 	 -449.665771484375 	 1605014773.0177972 	 1 	 5 	 10 	 12
283 	 -384.0216979980469 	 1605014773.022431 	 1 	 3 	 12 	 6
284 	 -397.23760986328125 	 1605014773.0273752 	 1 	 5 	 10 	 8
285 	 -345.24615478515625 	 1605014773.032065 	 1 	 8 	 7 	 10
286 	 -379.5339660644531 	 1605014773.036761 	 1 	 4 	 11 	 6
287 	 -500.34130859375 	 1605014773.041574 	 1 	 6 	 9 	 12
288 	 -360.4488525390625 	 1605014773.046674 	 1 	 6 	 9 	 8
289 	 -347.4477844238281 	 1605014773.051339 	 1 	 4 	 11 	 6
290 	 -361.4492492675781 	 1605014773.056001 	 1 	 7 	 8 	 10
291 	 -344.7561950683594 	 1605014773.060697 	 1 	 4 	 11 	 6
292 	 -250.55201721191406 	 1605014773.065431 	 1 	 6 	 9 	 2
293 	 -422.7785949707031 	 1605014773.069967 	 1 	 4 	 11 	 10
294 	 -324.3297119140625 	 1605014773.074521 	 1 	 0 	 15 	 0
295 	 -282.98504638671875 	 1605014773.079286 	 1 	 7 	 8 	 6
296 	 -366.72344970703125 	 1605014773.0838678 	 1 	 8 	 7 	 10
297 	 -377.6996154785156 	 1605014773.0886972 	 1 	 2 	 13 	 4
298 	 -343.9172058105469 	 1605014773.093382 	 1 	 5 	 10 	 6
299 	 -384.8943176269531 	 1605014773.098028 	 1 	 2 	 13 	 6
300 	 -399.7721252441406 	 1605014773.1026602 	 1 	 4 	 11 	 10
301 	 -381.3183288574219 	 1605014773.107248 	 1 	 2 	 13 	 4
302 	 -315.74517822265625 	 1605014773.111912 	 1 	 4 	 11 	 4
303 	 -243.72166442871094 	 1605014773.116482 	 1 	 4 	 11 	 0
304 	 -427.9312438964844 	 1605014773.121126 	 1 	 3 	 12 	 8
305 	 -391.2896728515625 	 1605014773.125963 	 1 	 3 	 12 	 6
306 	 -302.9200134277344 	 1605014773.130531 	 1 	 5 	 10 	 4
307 	 -371.92327880859375 	 1605014773.1350641 	 1 	 3 	 12 	 6
308 	 -378.736572265625 	 1605014773.139568 	 1 	 6 	 9 	 8
309 	 -351.31182861328125 	 1605014773.1443021 	 1 	 3 	 12 	 4
310 	 -414.3887939453125 	 1605014773.1489549 	 1 	 3 	 12 	 8
311 	 -393.4150390625 	 1605014773.1536288 	 1 	 6 	 9 	 10
312 	 -376.6013488769531 	 1605014773.158373 	 1 	 5 	 10 	 8
313 	 -414.7478332519531 	 1605014773.1629179 	 1 	 1 	 14 	 6
314 	 -434.0363464355469 	 1605014773.167587 	 1 	 4 	 11 	 10
315 	 -404.6912841796875 	 1605014773.1723 	 1 	 3 	 12 	 6
